Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T18:44:00Z,2025-04-06T18:51:00Z,Short,1624.52,1600.90,0.076156,1.80,10.00%,0.1454,4.95
2025-04-06T19:09:00Z,2025-04-06T19:24:00Z,Short,1625.25,1616.23,0.197055,1.78,10.00%,0.0555,12.81
2025-04-06T19:30:00Z,2025-04-06T20:34:00Z,Long,1601.84,1607.11,0.500497,2.63,10.00%,0.0329,32.07
2025-04-06T20:47:00Z,2025-04-06T22:37:00Z,Short,1596.81,1582.47,0.129455,1.86,10.00%,0.0898,8.27
2025-04-06T22:38:00Z,2025-04-07T02:26:00Z,Short,1601.49,1585.40,0.117561,1.89,10.00%,0.1004,7.53
2025-04-07T02:28:00Z,2025-04-07T06:19:00Z,Short,1581.83,1517.60,0.029904,1.92,10.00%,0.4061,1.89
2025-04-07T06:52:00Z,2025-04-07T07:50:00Z,Short,1467.26,1457.10,0.192357,1.95,10.00%,0.0692,11.29
2025-04-07T07:54:00Z,2025-04-08T17:11:00Z,Short,1477.44,1470.90,0.456995,2.99,10.00%,0.0442,27.01
2025-04-08T17:20:00Z,2025-04-08T22:25:00Z,Long,1452.25,1461.83,0.208968,2.00,10.00%,0.0659,12.14
2025-04-08T22:32:00Z,2025-04-09T01:07:00Z,Short,1466.26,1456.47,0.212007,2.07,10.00%,0.0667,12.43
2025-04-09T01:26:00Z,2025-04-09T02:56:00Z,Short,1423.94,1418.95,0.633850,3.16,10.00%,0.0350,36.10
2025-04-09T03:08:00Z,2025-04-09T03:42:00Z,Long,1408.48,1414.07,0.383154,2.14,10.00%,0.0397,21.59
2025-04-09T03:45:00Z,2025-04-09T04:00:00Z,Short,1417.16,1413.15,0.550860,2.21,10.00%,0.0284,31.23
2025-04-09T04:00:00Z,2025-04-09T04:15:00Z,Long,1415.56,1438.70,0.099150,2.29,10.00%,0.1635,5.61
2025-04-09T04:20:00Z,2025-04-09T11:05:00Z,Short,1462.58,1452.73,0.350796,3.46,10.00%,0.0674,20.52
2025-04-09T11:31:00Z,2025-04-09T11:48:00Z,Long,1450.98,1455.52,0.511856,2.32,10.00%,0.0313,29.71
2025-04-09T11:48:00Z,2025-04-09T12:32:00Z,Short,1459.53,1440.60,0.130440,2.47,10.00%,0.1297,7.62
2025-04-09T12:42:00Z,2025-04-09T13:37:00Z,Short,1477.71,1471.29,0.567382,3.64,10.00%,0.0435,33.54
2025-04-09T14:04:00Z,2025-04-09T14:17:00Z,Long,1478.86,1482.42,1.023011,3.64,10.00%,0.0241,60.52
2025-04-09T14:23:00Z,2025-04-09T15:15:00Z,Long,1477.33,1485.58,0.304015,2.51,10.00%,0.0559,17.97
2025-04-09T15:16:00Z,2025-04-09T17:20:00Z,Long,1487.72,1521.70,0.077308,2.63,10.00%,0.2284,4.60
2025-04-09T17:43:00Z,2025-04-09T17:57:00Z,Long,1589.18,1617.50,0.095187,2.70,10.00%,0.1782,6.05
2025-04-09T18:05:00Z,2025-04-09T18:14:00Z,Long,1623.10,1659.50,0.074776,2.72,10.00%,0.2243,4.85
2025-04-09T18:27:00Z,2025-04-09T18:39:00Z,Long,1653.08,1658.65,0.487721,2.71,10.00%,0.0336,32.25
2025-04-09T19:27:00Z,2025-04-09T20:34:00Z,Long,1637.21,1656.30,0.151755,2.90,10.00%,0.1166,9.94
2025-04-09T21:09:00Z,2025-04-09T23:59:00Z,Long,1661.26,1669.74,0.329125,2.79,10.00%,0.0510,21.87
2025-04-10T00:47:00Z,2025-04-10T01:07:00Z,Short,1647.87,1642.78,0.568723,2.89,10.00%,0.0309,37.49
2025-04-10T01:08:00Z,2025-04-10T03:13:00Z,Short,1641.43,1620.40,0.144672,3.04,10.00%,0.1281,9.50
2025-04-10T08:46:00Z,2025-04-10T10:18:00Z,Short,1600.88,1598.06,1.578788,4.45,10.00%,0.0176,101.10
2025-04-10T10:36:00Z,2025-04-10T12:04:00Z,Short,1600.53,1594.13,0.479457,3.07,10.00%,0.0400,30.70
2025-04-10T12:14:00Z,2025-04-10T13:50:00Z,Long,1572.36,1578.49,0.739384,4.53,10.00%,0.0390,46.50
2025-04-10T14:45:00Z,2025-04-11T08:05:00Z,Long,1560.72,1564.43,1.260478,4.68,10.00%,0.0238,78.69
2025-04-11T09:23:00Z,2025-04-11T10:35:00Z,Long,1552.20,1581.00,0.115969,3.34,10.00%,0.1855,7.20
2025-04-11T11:11:00Z,2025-04-11T12:30:00Z,Long,1559.79,1568.16,0.392361,3.28,10.00%,0.0537,24.48
2025-04-11T12:33:00Z,2025-04-11T13:34:00Z,Long,1557.86,1562.11,0.795113,3.38,10.00%,0.0273,49.55
2025-04-11T13:34:00Z,2025-04-11T13:42:00Z,Short,1571.34,1567.06,0.810543,3.47,10.00%,0.0273,50.95
